"""Name",Categoría,Gen 1,Gen 2,Hibridable,Bingo,"Incubation"""
"""Grannyvore",Legendario,Zoomorfo,Sable,Si es de supropiedad,6,"60"""
"""Noren",Exclusivo,Zoomorfo,Sable,No,7,"60"""
"""Sanik",Legendario,Zoomorfo,Sable,Si es de supropiedad,8,"60"""
"""Master Shinzo",Legendario,Zoomorfo,Sable,Si es de supropiedad,9,"60"""
"""Krampus",Legendario,Zoomorfo,Sable,Si es de supropiedad,10,"60"""
"""Spada",Legendario,Zoomorfo,Sable,Si es de supropiedad,11,"60"""
"""Harebrained Underminer",Seasonal,Zoomorfo,Sable,No,12,"60"""
"""Sawmetrodon",Legendario,Zoomorfo,Sable,Si es de supropiedad,13,"60"""
"""Jurassic Terror",Exclusivo,Zoomorfo,Sable,No,14,"60"""
"""Kaiju Kitty",Común,Zoomorfo,Zoomorfo,Si,1,"360"""
"""Mestro Splitter",PvP,Zoomorfo,Zoomorfo,Si es de supropiedad,2,"60"""
"""Psychoboar",Legendario,Zoomorfo,Zoomorfo,Si es de supropiedad,3,"60"""
"""Cernunnos",Legendario,Zoomorfo,Zoomorfo,Si es de supropiedad,4,"60"""
"""Dilophoraptor",PvP,Zoomorfo,Zoomorfo,Si es de supropiedad,5,"60"""
"""Kangaboo",PvP,Zoomorfo,Zoomorfo,Si es de supropiedad,6,"60"""
"""Baloonies",Legendario,Zoomorfo,Zoomorfo,Si es de supropiedad,7,"60"""
"""Rhinotaure",Legendario,Zoomorfo,Zoomorfo,Si es de supropiedad,8,"60"""
"""Mister T-ger",PvP,Zoomorfo,Zoomorfo,Si es de supropiedad,9,"60"""
"""Kameo",Legendario,Zoomorfo,Zoomorfo,Si es de supropiedad,10,"60"""
"""Abyssal Terror",Legendario,Zoomorfo,Zoomorfo,Si es de supropiedad,11,"60"""
"""Solar Lampyrion",Exclusivo,Zoomorfo,Zoomorfo,No,12,"60"""
"""Lama Sensei",Legendario,Zoomorfo,Zoomorfo,Si es de supropiedad,13,"60"""
"""Parasite Queen",Común,Zoomorfo,Galáctico,Si,1,"540"""
"""Cosmo Kong",Legendario,Zoomorfo,Galáctico,Si,2,"180"""
"""Slashog",PvP,Zoomorfo,Galáctico,Si es de supropiedad,3,"60"""
"""Genshiryoku",Legendario,Zoomorfo,Galáctico,Si es de supropiedad,4,"60"""
"""Exo Cookie",Legendario,Zoomorfo,Galáctico,Si es de supropiedad,5,"60"""
"""Darwin",Exclusivo,Zoomorfo,Galáctico,No,6,"60"""
"""Captain Turk E.",Legendario,Zoomorfo,Galáctico,Si es de supropiedad,7,"60"""
"""Cosmopandas",Legendario,Zoomorfo,Galáctico,Si es de supropiedad,8,"60"""
"""Zigmo",Legendario,Zoomorfo,Galáctico,Si es de supropiedad,9,"60"""
"""Mad Mike",Heroico,Zoomorfo,Galáctico,Si es de supropiedad,10,"60"""
"""Drei, Space Corgi",Legendario,Zoomorfo,Galáctico,Si es de supropiedad,11,"60"""
"""Leviathan",Legendario,Zoomorfo,Galáctico,Si es de supropiedad,12,"60"""
"""Oryctolagus Alienicus",Seasonal,Zoomorfo,Galáctico,No,13,"60"""
"""Dracus Nobilis",Común,Zoomorfo,Mitico,Si,1,"1440"""
"""Satyr Shaman",PvP,Zoomorfo,Mitico,Si es de supropiedad,2,"60"""
"""Absolem",Legendario,Zoomorfo,Mitico,Si,3,"180"""
"""Kontiki",Legendario,Zoomorfo,Mitico,Si es de supropiedad,4,"60"""
"""Madre de los Dragones",Legendario,Zoomorfo,Mitico,Si es de supropiedad,5,"60"""
"""Sable",Exclusivo,Zoomorfo,Mitico,No,6,"60"""
"""The Chimera",Legendario,Zoomorfo,Mitico,Si es de supropiedad,7,"60"""
"""Chantecler",Heroico,Zoomorfo,Mitico,Si es de supropiedad,8,"60"""
"""Quetzalcoatl",Legendario,Zoomorfo,Mitico,Si es de supropiedad,9,"60"""
"""Gwenn",Legendario,Zoomorfo,Mitico,Si es de supropiedad,10,"60"""
"""Chocolem",Exclusivo,Zoomorfo,Mitico,No,11,"60"""
"""Basilisc&Tarragon",Reactor,Zoomorfo,Mitico,No,12,"60"""
"""Genimal",Exclusivo,Zoomorfo,Mitico,No,99,"60"""
"""Alien",Común,Galáctico,Neutro,Si,1,"360"""
"""Ceres",Legendario,Galáctico,Neutro,Si es de supropiedad,3,"60"""
"""Sidereal Explorer",Legendario,Galáctico,Neutro,Si es de supropiedad,12,"60"""
"""Stargazer",Heroico,Galáctico,Neutro,Si es de supropiedad,13,"90"""
"""Planet Cleaner",Común,Galáctico,Cyber,Si,1,"1260"""
"""Sentry",Legendario,Galáctico,Cyber,Si,2,"180"""
"""Exo Fish",Zodiac,Galáctico,Cyber,No,3,"60"""
"""Brick McGole",Legendario,Galáctico,Cyber,Si es de supropiedad,4,"60"""
"""King Steven",Legendario,Galáctico,Cyber,Si es de supropiedad,5,"60"""
"""Krunk",Legendario,Galáctico,Cyber,Si es de supropiedad,6,"60"""
"""Captain Patriot",Legendario,Galáctico,Cyber,Si es de supropiedad,7,"60"""
"""Lady Liberty",Seasonal,Galáctico,Cyber,No,8,"60"""
"""Captain Gorn",Legendario,Galáctico,Cyber,Si es de supropiedad,9,"60"""
"""Space Surfer",Exclusivo,Galáctico,Cyber,No,10,"60"""
"""Dreadnought",Exclusivo,Galáctico,Cyber,No,11,"60"""
"""Fix-o-Drone LLK-215",Legendario,Galáctico,Cyber,Si es de supropiedad,12,"60"""
"""Tutti Gooey",Común,Galáctico,Necro,Si,1,"1260"""
"""Sirenia",PvP,Galáctico,Necro,Si es de supropiedad,2,"60"""
"""The Devourer",Secret,Galáctico,Necro,Si,3,"360"""
"""Ghost Killer",Legendario,Galáctico,Necro,Si es de supropiedad,4,"60"""
"""Undead Soldier",Legendario,Galáctico,Necro,Si es de supropiedad,5,"60"""
"""Garlog",Reactor,Galáctico,Necro,No,6,"60"""
"""Starminator",Legendario,Galáctico,Necro,Si es de supropiedad,7,"60"""
"""Dr. Nucleus",Exclusivo,Galáctico,Necro,No,8,"60"""
"""Queen Sylvidra",Heroico,Galáctico,Necro,Si es de supropiedad,9,"60"""
"""Gakarian",Legendario,Galáctico,Necro,Si es de supropiedad,10,"60"""
"""Aubraea Mutantula",Legendario,Galáctico,Necro,Si es de supropiedad,11,"60"""
"""Starfarer Medic",PvP,Galáctico,Necro,Si es de supropiedad,12,"60"""
"""Xinomas",Exclusivo,Galáctico,Necro,No,13,"60"""
"""Diablo",Exclusivo,Galáctico,Necro,No,99,"60"""
"""Bounty Bug",Común,Galáctico,Sable,Si,1,"420"""
"""Behemoth",PvP,Galáctico,Sable,Si es de supropiedad,2,"60"""
"""Star Trooper",Legendario,Galáctico,Sable,Si,3,"180"""
"""Santactopus",Seasonal,Galáctico,Sable,No,4,"60"""
"""Space Hunter",Legendario,Galáctico,Sable,Si es de supropiedad,5,"60"""
"""Zeus",Reactor,Galáctico,Sable,No,6,"60"""
"""Starscream",Legendario,Galáctico,Sable,Si es de supropiedad,7,"60"""
"""Spectre",Heroico,Galáctico,Sable,Si es de supropiedad,8,"60"""
"""Shieldcalibur",Legendario,Galáctico,Sable,Si es de supropiedad,9,"60"""
"""Gamallia",Legendario,Galáctico,Sable,Si es de supropiedad,10,"60"""
