"Name	Category	Gene 1	Gene 2	Breedable	Bingo	Incubation"
"Grannyvore	Legendary	Zoomorph	Saber	If owned	6	60"
"Noren	Exclusive	Zoomorph	Saber	No	7	60"
"Sanik	Legendary	Zoomorph	Saber	If owned	8	60"
"Master Shinzo	Legendary	Zoomorph	Saber	If owned	9	60"
"Krampus	Legendary	Zoomorph	Saber	If owned	10	60"
"Spada	Legendary	Zoomorph	Saber	If owned	11	60"
"Harebrained Underminer	Seasonal	Zoomorph	Saber	No	12	60"
"Sawmetrodon	Legendary	Zoomorph	Saber	If owned	13	60"
"Jurassic Terror	Exclusive	Zoomorph	Saber	No	14	60"
"Kaiju Kitty	Common	Zoomorph	Zoomorph	Yes	1	360"
"Master Splitter	PvP	Zoomorph	Zoomorph	If owned	2	60"
"Psychoboar	Legendary	Zoomorph	Zoomorph	If owned	3	60"
"Cernunnos	Legendary	Zoomorph	Zoomorph	If owned	4	60"
"Dilophoraptor	PvP	Zoomorph	Zoomorph	If owned	5	60"
"Kangaboo	PvP	Zoomorph	Zoomorph	If owned	6	60"
"Baloonies	Legendary	Zoomorph	Zoomorph	If owned	7	60"
"Rhinotaure	Legendary	Zoomorph	Zoomorph	If owned	8	60"
"Mister T-ger	PvP	Zoomorph	Zoomorph	If owned	9	60"
"Kameo	Legendary	Zoomorph	Zoomorph	If owned	10	60"
"Abyssal Terror	Legendary	Zoomorph	Zoomorph	If owned	11	60"
"Solar Lampyrion	Exclusive	Zoomorph	Zoomorph	No	12	60"
"Lama Sensei	Legendary	Zoomorph	Zoomorph	If owned	13	60"
"Parasite Queen	Common	Zoomorph	Galactic	Yes	1	540"
"Cosmo Kong	Legendary	Zoomorph	Galactic	Yes	2	180"
"Slashog	PvP	Zoomorph	Galactic	If owned	3	60"
"Genshiryoku	Legendary	Zoomorph	Galactic	If owned	4	60"
"Exo Cookie	Legendary	Zoomorph	Galactic	If owned	5	60"
"Darwin	Exclusive	Zoomorph	Galactic	No	6	60"
"Captain Turk E.	Legendary	Zoomorph	Galactic	If owned	7	60"
"Cosmopandas	Legendary	Zoomorph	Galactic	If owned	8	60"
"Zigmo	Legendary	Zoomorph	Galactic	If owned	9	60"
"Mad Mike	Heroic	Zoomorph	Galactic	If owned	10	60"
"Drei, Space Corgi	Legendary	Zoomorph	Galactic	If owned	11	60"
"Leviathan	Legendary	Zoomorph	Galactic	If owned	12	60"
"Oryctolagus Alienicus	Seasonal	Zoomorph	Galactic	No	13	60"
"Dracus Nobilis	Common	Zoomorph	Mythic	Yes	1	1440"
"Satyr Shaman	PvP	Zoomorph	Mythic	If owned	2	60"
"Absolem	Legendary	Zoomorph	Mythic	Yes	3	180"
"Kontiki	Legendary	Zoomorph	Mythic	If owned	4	60"
"Dragons' Mother	Legendary	Zoomorph	Mythic	If owned	5	60"
"Saber	Exclusive	Zoomorph	Mythic	No	6	60"
"The Chimera	Legendary	Zoomorph	Mythic	If owned	7	60"
"Chantecler	Heroic	Zoomorph	Mythic	If owned	8	60"
"Quetzalcoatl	Legendary	Zoomorph	Mythic	If owned	9	60"
"Gwenn	Legendary	Zoomorph	Mythic	If owned	10	60"
"Chocolem	Exclusive	Zoomorph	Mythic	No	11	60"
"Basilisc&Tarragon	Reactor	Zoomorph	Mythic	No	12	60"
"Genimal	Exclusive	Zoomorph	Mythic	No	99	60"
"Alien	Common	Galactic	Neutral	Yes	1	360"
"Ceres	Legendary	Galactic	Neutral	If owned	3	60"
"Sidereal Explorer	Legendary	Galactic	Neutral	If owned	12	60"
"Stargazer	Heroic	Galactic	Neutral	If owned	13	90"
"Planet Cleaner	Common	Galactic	Cyber	Yes	1	1260"
"Sentry	Legendary	Galactic	Cyber	Yes	2	180"
"Exo Fish	Zodiac	Galactic	Cyber	No	3	60"
"Brick McGole	Legendary	Galactic	Cyber	If owned	4	60"
"King Steven	Legendary	Galactic	Cyber	If owned	5	60"
"Krunk	Legendary	Galactic	Cyber	If owned	6	60"
"Captain Patriot	Legendary	Galactic	Cyber	If owned	7	60"
"Lady Liberty	Seasonal	Galactic	Cyber	No	8	60"
"Captain Gorn	Legendary	Galactic	Cyber	If owned	9	60"
"Space Surfer	Exclusive	Galactic	Cyber	No	10	60"
"Dreadnought	Exclusive	Galactic	Cyber	No	11	60"
"Fix-o-Drone LLK-215	Legendary	Galactic	Cyber	If owned	12	60"
"Tutti Gooey	Common	Galactic	Necro	Yes	1	1260"
"Sirenia	PvP	Galactic	Necro	If owned	2	60"
"The Devourer	Secret	Galactic	Necro	Yes	3	360"
"Ghost Killer	Legendary	Galactic	Necro	If owned	4	60"
"Undead Soldier	Legendary	Galactic	Necro	If owned	5	60"
"Garlog	Reactor	Galactic	Necro	No	6	60"
"Starminator	Legendary	Galactic	Necro	If owned	7	60"
"Dr. Nucleus	Exclusive	Galactic	Necro	No	8	60"
"Queen Sylvidra	Heroic	Galactic	Necro	If owned	9	60"
"Gakarian	Legendary	Galactic	Necro	If owned	10	60"
"Aubraea Mutantula	Legendary	Galactic	Necro	If owned	11	60"
"Starfarer Medic	PvP	Galactic	Necro	If owned	12	60"
"Xinomas	Exclusive	Galactic	Necro	No	13	60"
"Diablo	Exclusive	Galactic	Necro	No	99	60"
"Bounty Bug	Common	Galactic	Saber	Yes	1	420"
"Behemoth	PvP	Galactic	Saber	If owned	2	60"
"Star Trooper	Legendary	Galactic	Saber	Yes	3	180"
"Santactopus	Seasonal	Galactic	Saber	No	4	60"
"Space Hunter	Legendary	Galactic	Saber	If owned	5	60"
"Zeus	Reactor	Galactic	Saber	No	6	60"
"Starscream	Legendary	Galactic	Saber	If owned	7	60"
"Spectre	Heroic	Galactic	Saber	If owned	8	60"
"Shieldcalibur	Legendary	Galactic	Saber	If owned	9	60"
"Gamallia	Legendary	Galactic	Saber	If owned	10	60"
"Veren Kaeesu	Exclusive	Galactic	Saber	No	11	60"
"Stellarian Lithominer	Legendary	Galactic	Saber	If owned	12	60"
"Xenos	Common	Galactic	Zoomorph	Yes	1	1440"
"Shell Shock	PvP	Galactic	Zoomorph	If owned	2	60"
"Wampara	Legendary	Galactic	Zoomorph	Yes	3	180"
"Rakk 'n' Ruin	Exclusive	Galactic	Zoomorph	No	4	60"
"Crawlorax	Legendary	Galactic	Zoomorph	If owned	5	60"
"Kitty Perry	Legendary	Galactic	Zoomorph	If owned	6	60"
"Paramic	Legendary	Galactic	Zoomorph	If owned	7	60"
"Sgt. Pandamonium	Legendary	Galactic	Zoomorph	If owned	8	60"
"Rox McRain	Legendary	Galactic	Zoomorph	If owned	9	60"
"Angry Pork	Legendary	Galactic	Zoomorph	If owned	10	60"
